"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\angular.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\package-lock.json", "JSON", 13511, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13512
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\app.module.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 5, 98
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\global.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 6
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\admin-pages\admin-game\admin-game.component.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\admin-pages\admin-game\admin-game.component.html", "HTML", 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\admin-pages\admin-game\admin-game.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\admin-pages\admin-game\admin-game.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 10, 9, 47
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\find-temmate-pages\find-teammete-seacrh\find-teammete-seacrh.component.css", "CSS", 0, 0, 0, 0, 129, 0, 0, 0, 0, 23, 152
